query,intent,clicks,impressions,ctr,position,mapped_page,match_where
rent bike near me,sales,1,36,2.78%,17.58,/bike-rentals-varanasi,all terms on page
dharamshala near vindhyachal temple,sales,3,35,8.57%,6.89,/en/services/where-to-stay-in-vindhyachal,body
bike rent banaras,sales,1,35,2.86%,3.8,/bike-rentals-varanasi,slug (all terms)
bike on rent varanasi cantt,sales,1,35,2.86%,7.14,/bike-rentals-varanasi,all terms on page
assi ghat boat ride price,sales,3,34,8.82%,4.32,/en/morning-boat-ride-varanasi-price,body
best dharamshala in vindhyachal with price for family,sales,1,34,2.94%,3.88,/en/services/where-to-stay-in-vindhyachal,all terms on page
two wheeler on rent in varanasi,sales,2,33,6.06%,3.3,/bike-rentals-varanasi,all terms on page
dashashwamedh ghat aarti vip ticket price,sales,1,33,3.03%,5.52,/en/dashashwamedh-ghat-ganga-aarti-timing,body
scooty on rent in banaras,sales,3,32,9.38%,3.0,/bike-rentals-varanasi,all terms on page
scooty on rent,sales,2,32,6.25%,7.47,/bike-rentals-varanasi,body
sarnath buddhist temple varanasi tickets,sales,1,32,3.12%,3.78,/en/sarnath-buddhist-temple-guide,body
varanasi me bike rent price,sales,4,31,12.9%,3.19,/bike-rentals-varanasi,all terms on page
varanasi airport taxi price,sales,2,31,6.45%,3.94,/en/varanasi-airport-taxi-price-guide,title
varanasi taxi,sales,2,31,6.45%,25.94,/en/city/ayodhya/taxi/ayodhya-to-varanasi-taxi,title
rental bike,sales,1,31,3.23%,3.94,/bike-rentals-varanasi,slug (all terms)
sarnath temple varanasi ticket price,sales,5,30,16.67%,2.07,/en/city/varanasi/taxi/varanasi-to-sarnath-taxi,all terms on page
scooty rentals in varanasi,sales,2,29,6.9%,2.97,/bike-rentals-varanasi,all terms on page
two wheeler rent in varanasi,sales,5,28,17.86%,3.14,/bike-rentals-varanasi,all terms on page
kashi taxi service,sales,3,28,10.71%,3.21,/en/city/varanasi/taxi/taxi-service-in-sigra-varanasi,slug (all terms)
tempo traveller 17 seater in varanasi price,sales,2,28,7.14%,2.71,/en/17-seater-tempo-traveller-varanasi,body
dharamshala in vindhyachal with price,sales,2,28,7.14%,3.5,/en/services/where-to-stay-in-vindhyachal,all terms on page
varanasi to ayodhya traveller price,sales,1,27,3.7%,3.04,/en/varanasi-to-ayodhya-tempo-traveller,body
sunauli border to kathmandu taxi fare,sales,1,26,3.85%,10.04,/en/city/kathmandu/taxi/varanasi-to-kathmandu-taxi,all terms on page
rental bike in varanasi price,sales,3,24,12.5%,4.08,/bike-rentals-varanasi,all terms on page
bike rent in banaras,sales,3,24,12.5%,4.12,/bike-rentals-varanasi,slug (all terms)
boat charges in varanasi,sales,1,24,4.17%,4.33,/en/morning-boat-ride-varanasi-price,all terms on page
rental scooty varanasi,sales,2,23,8.7%,2.96,/bike-rentals-varanasi,all terms on page
84 ghat varanasi boating price,sales,1,23,4.35%,2.87,/en/city/varanasi/activities/84-ghats-boat-tour-varanasi,all terms on page
banaras bike rental,sales,4,22,18.18%,3.55,/bike-rentals-varanasi,slug (all terms)
2 wheeler on rent near me,sales,1,22,4.55%,5.82,/bike-rentals-varanasi,all terms on page
sarnath deer park ticket price,sales,1,22,4.55%,5.95,/en/sarnath-complete-guide,all terms on page
varanasi sightseeing cost,sales,1,21,4.76%,3.24,/en/city/varanasi/sightseeing/varanasi-local-sightseeing-package,all terms on page
banaras me boat ride price,sales,1,21,4.76%,4.38,/en/morning-boat-ride-varanasi-price,slug (all terms)
prayagraj to ayodhya traveller price,sales,1,21,4.76%,6.81,/en/varanasi-to-ayodhya-tempo-traveller,all terms on page
boat ride cost in varanasi,sales,1,21,4.76%,6.95,/en/boat-ride-varanasi,all terms on page
varanasi to mau taxi fare,sales,1,20,5%,7.1,/en/city/varanasi/taxi/varanasi-airport-to-mau-taxi,all terms on page
boat ride in varanasi price,sales,1,19,5.26%,7.0,/en/morning-boat-ride-varanasi-price,slug (all terms)
9 seater tempo traveller in varanasi,sales,1,19,5.26%,7.16,/en/9-vs-12-vs-17-seater-tempo-traveller-varanasi,slug (all terms)
varanasi boat booking,sales,3,17,17.65%,13.0,/en/packages/varanasi-boat-ride-booking,slug (all terms)
auto fare in varanasi,sales,2,17,11.76%,1.65,/en/varanasi-transport-price-guide-2026,all terms on page
varanasi auto fare chart,sales,2,17,11.76%,2.12,/en/city/varanasi/taxi/varanasi-airport-to-tulsi-ghat-taxi,all terms on page
activa on rent in varanasi,sales,1,17,5.88%,2.88,/bike-rentals-varanasi,all terms on page
ddu station to varanasi distance by road fare,sales,1,16,6.25%,1.94,/en/city/varanasi/taxi/varanasi-airport-to-banaras-railway-station-taxi,all terms on page
kashi to ayodhya distance by road fare,sales,1,16,6.25%,3.75,/en/ayodhya-varanasi-prayagraj-group-tour-package,all terms on page
taxi fare from varanasi airport to kashi vishwanath temple,sales,1,15,6.67%,1.53,/en/city/varanasi/taxi/varanasi-airport-to-kashi-vishwanath-taxi,body
ganga aarti varanasi booking,sales,1,15,6.67%,9.73,/en/ganga-aarti-boat-booking-price,body
varanasi to kathmandu taxi fare,sales,4,14,28.57%,1.86,/en/city/kathmandu/taxi/varanasi-to-kathmandu-taxi,all terms on page
sarnath park ticket price,sales,1,14,7.14%,2.57,/en/sarnath-complete-guide,all terms on page
varanasi airport to city taxi fare,sales,1,14,7.14%,2.64,/en/services/varanasi-airport-to-city-cab,body
varanasi dharamshala near mandir with price,sales,1,13,7.69%,1.0,/en/services/dharamshala-near-kashi-vishwanath-temple-varanasi,all terms on page
rental scooty,sales,1,13,7.69%,5.62,/bike-rentals-varanasi,body
dashashwamedh ghat aarti booking,sales,1,13,7.69%,6.38,/en/city/varanasi/sightseeing/dashashwamedh-ghat-boat-ride-ganga-aarti-guide,all terms on page
varanasi airport car parking charges per day,sales,1,13,7.69%,10.46,/en/city/varanasi/events/banaras-lit-fest-2026-taxi-booking,all terms on page
varanasi to prayagraj cab fare,sales,1,12,8.33%,1.0,/en/varanasi-to-prayagraj-taxi,all terms on page
varanasi boat ride price per person,sales,1,12,8.33%,5.33,/en/morning-boat-ride-varanasi-price,all terms on page
rent a scooty near me,sales,1,12,8.33%,16.08,/bike-rentals-varanasi,all terms on page
varanasi tour package,sales,1,11,9.09%,38.73,/en/packages/varanasi-tour-package,title
rental bikes varanasi,sales,1,10,10%,3.6,/bike-rentals-varanasi,slug (all terms)
kashi bike rental,sales,1,10,10%,5.4,/bike-rentals-varanasi,slug (all terms)
scooty rent in varanasi price,sales,1,9,11.11%,2.33,/bike-rentals-varanasi,all terms on page
bike on rent in varanasi near me,sales,1,9,11.11%,4.78,/bike-rentals-varanasi,all terms on page
varanasi to gorakhpur taxi fare,sales,1,9,11.11%,9.44,/en/city/varanasi/taxi/varanasi-airport-to-gorakhpur-taxi,all terms on page
varanasi to vindhyachal distance by bike,sales,1,8,12.5%,1.88,/bike-rentals-varanasi,all terms on page
scooty on rent near me price,sales,1,8,12.5%,15.5,/bike-rentals-varanasi,all terms on page
varanasi sightseeing cab,sales,1,7,14.29%,1.71,/en/city/agra/taxi/varanasi-to-agra-taxi,all terms on page
varanasi day tour package,sales,1,7,14.29%,5.71,/en/city/varanasi/tour-packages/ayodhya-varanasi-3-day-tour,all terms on page
scooty hire near me,sales,1,7,14.29%,10.43,/en/sarnath-complete-guide,all terms on page
varanasi ganga aarti boat booking price,sales,1,7,14.29%,11.57,/en/ganga-aarti-boat-booking-price,body
two wheeler rent near me,sales,1,7,14.29%,28.71,/bike-rentals-varanasi,all terms on page
benaras tour,sales,1,6,16.67%,3.5,/banaras-tour-package,tokens (1/2)
kasi taxi,sales,2,5,40%,3.2,/kasi-tour-package,all terms on page
vindhyachal vip darshan booking,sales,1,5,20%,7.2,/en/navratri-in-vindhyachal-practical-guide,all terms on page
rent a bike,sales,1,5,20%,29.0,/bike-rentals-varanasi,slug (all terms)
varanasi to prayagraj one day tour package,sales,1,4,25%,6.75,/en/ayodhya-varanasi-prayagraj-group-tour-package,all terms on page
how to book boat ride in varanasi,sales,1,3,33.33%,1.0,/en/evening-boat-ride-varanasi-ganga-aarti,all terms on page
17 seater tempo traveller price,sales,1,3,33.33%,2.67,/en/17-seater-tempo-traveller-varanasi,body
cab from varanasi to vindhyachal,sales,1,3,33.33%,4.33,/en/city/varanasi/taxi/varanasi-airport-to-mirzapur-vindhyachal-taxi,slug (all terms)
hourly scooty rental near me,sales,1,3,33.33%,4.67,/bike-rentals-varanasi,tokens (3/4)
hotel near vindhyachal mandir,sales,1,3,33.33%,5.67,/en/services/where-to-stay-in-vindhyachal,all terms on page
kashi boating price,sales,1,3,33.33%,6.33,/en/morning-boat-ride-varanasi-price,all terms on page
cost of pind daan in gaya,sales,1,3,33.33%,11.0,/en/city/varanasi/tour-packages/pind-daan-gaya-service-varanasi,all terms on page
pink taxi for women,sales,1,2,50%,1.0,/en/services/varanasi-safest-taxi-for-women,all terms on page
dharamshala near kashi vishwanath temple,sales,1,2,50%,18.5,/en/services/dharamshala-near-kashi-vishwanath-temple-varanasi,title
ayodhya tour packages from bangalore price,sales,1,1,100%,1.0,/en/city/varanasi/taxi/one-way-taxi-varanasi,all terms on page
mumbai darshan bus price,sales,1,1,100%,1.0,/en/packages/varanasi-tour-package,all terms on page
rent pe bike near me,sales,1,1,100%,1.0,/bike-rentals-varanasi,tokens (3/4)
scooty rental.near me,sales,1,1,100%,3.0,/bike-rentals-varanasi,all terms on page
tempo travel 17 seater,sales,1,1,100%,3.0,/en/17-seater-tempo-traveller-varanasi,all terms on page
alka hotel varanasi,sales,1,1,100%,4.0,/en/city/varanasi/events/kartik-purnima-ganga-snan-varanasi-2026,all terms on page
cab outstation,sales,1,1,100%,10.0,/rates/outstation-taxi-varanasi,slug (all terms)
varanasi to vindhyachal distance,info,48,6720,0.71%,4.52,/en/varanasi-to-vindhyachal-taxi,title
varanasi to gaya distance,info,1,3905,0.03%,8.5,/en/city/varanasi/taxi/varanasi-to-gaya-taxi-service,body
varanasi to nepal distance,info,11,3529,0.31%,4.9,/en/city/nepal/taxi/varanasi-to-nepal-taxi,all terms on page
assi ghat aarti time,info,33,3053,1.08%,3.54,/en/assi-ghat-aarti-timings-2026,title
dashashwamedh ghat aarti time,info,14,2473,0.57%,6.58,/en/city/varanasi/activities/ganga-aarti-timing-varanasi-2026,body
vindhyachal to varanasi distance,info,6,2131,0.28%,7.22,/en/varanasi-to-vindhyachal-taxi,body
varanasi ganga aarti time,info,2,2115,0.09%,9.34,/en/city/varanasi/activities/ganga-aarti-timing-varanasi-2026,all terms on page
banaras se ayodhya ki duri,info,1,1928,0.05%,9.28,/en/varanasi-to-ayodhya-taxi,body
ganga aarti timing,info,0,1783,0%,9.57,/en/city/varanasi/activities/ganga-aarti-timing-varanasi-2026,title
varanasi to kashi distance,info,1,1744,0.06%,9.95,/en/city/bodhgaya/taxi/varanasi-to-bodhgaya-taxi,all terms on page
aaj ka suryoday,info,0,1733,0%,9.37,,UNMATCHED
ganga aarti timing in varanasi,info,3,1581,0.19%,9.97,/en/city/varanasi/activities/ganga-aarti-timing-varanasi-2026,slug (all terms)
varanasi airport to kashi vishwanath temple distance,info,6,1513,0.4%,3.83,/en/city/varanasi/taxi/varanasi-airport-to-kashi-vishwanath-taxi,body
varanasi to ayodhya distance by road,info,1,1499,0.07%,9.53,/en/ayodhya-varanasi-prayagraj-group-tour-package,all terms on page
varanasi to mau distance,info,1,1429,0.07%,10.26,/en/city/varanasi/taxi/varanasi-airport-to-mau-taxi,all terms on page
namo ghat distance,info,0,1207,0%,7.18,/en/city/varanasi/sightseeing/namo-ghat-varanasi,all terms on page
varanasi to kashi vishwanath temple distance,info,3,1175,0.26%,6.65,/en/services/dharamshala-near-kashi-vishwanath-temple-varanasi,all terms on page
aaj ka suryast ka samay,info,0,1125,0%,11.97,/hi/city/varanasi/activities/ganga-aarti-samay-varanasi-2026,tokens (1/3)
varanasi se ayodhya ki duri,info,1,1077,0.09%,8.94,/hi/varanasi-to-ayodhya-taxi,body
assi ghat morning aarti time,info,25,1047,2.39%,3.78,/en/assi-ghat-morning-aarti-time,slug
banaras to kashi vishwanath temple distance,info,0,1020,0%,8.52,/en/services/dharamshala-near-kashi-vishwanath-temple-varanasi,all terms on page
varanasi to ayodhya distance,info,1,997,0.1%,7.77,/en/city/varanasi/tour-packages/ayodhya-varanasi-tour,body
varanasi to vindhyachal distance by road,info,16,983,1.63%,4.38,/en/varanasi-to-vindhyachal-taxi,body
kashi to prayagraj distance,info,1,900,0.11%,8.59,/en/varanasi-to-prayagraj-taxi,all terms on page
sarnath timing,info,53,850,6.24%,1.85,/en/sarnath-timing-visit-guide,slug
varanasi to bodhgaya distance,info,1,819,0.12%,5.21,/en/city/bodhgaya/taxi/varanasi-to-bodhgaya-taxi,title
varanasi se vindhyachal ki duri,info,10,754,1.33%,2.94,/hi/varanasi-to-vindhyachal-taxi,body
banaras se vindhyachal ki duri,info,6,753,0.8%,2.94,/hi/varanasi-to-vindhyachal-taxi,body
namo ghat distance from my location,info,0,741,0%,6.64,/en/city/varanasi/sightseeing/namo-ghat-varanasi,all terms on page
vindhyachal mandir distance,info,1,713,0.14%,7.98,/en/city/varanasi/taxi/varanasi-airport-to-mirzapur-vindhyachal-taxi,all terms on page
dasaswamedh ghat aarti time,info,0,690,0%,7.05,/en/assi-ghat-evening-aarti-time,all terms on page
ganga aarti varanasi time,info,1,667,0.15%,10.53,/en/city/varanasi/activities/ganga-aarti-timing-varanasi-2026,body
banaras me kitne ghat h,info,4,664,0.6%,4.92,/en/city/varanasi/activities/84-ghats-boat-tour-varanasi,slug (all terms)
suryast ka samay,info,0,662,0%,10.98,/hi/city/varanasi/activities/ganga-aarti-samay-varanasi-2026,tokens (1/2)
kashi to ayodhya distance,info,0,658,0%,8.04,/en/city/varanasi/tour-packages/ayodhya-varanasi-tour,body
assi ghat aarti timings,info,8,533,1.5%,3.23,/en/assi-ghat-timings,title
kashi vishwanath to ayodhya distance,info,1,532,0.19%,7.86,/en/city/varanasi/tour-packages/ayodhya-varanasi-3-day-tour,all terms on page
varanasi airport to varanasi railway station distance,info,8,517,1.55%,3.53,/en/city/varanasi/taxi/varanasi-airport-to-banaras-railway-station-taxi,all terms on page
suryoday kitne baje hoga,info,0,507,0%,12.78,/en/city/varanasi/sightseeing/namo-ghat-varanasi,tokens (1/3)
varanasi airport to kashi temple distance,info,5,504,0.99%,3.95,/en/city/varanasi/taxi/varanasi-airport-to-kashi-vishwanath-taxi,body
aaj suryoday kitne baje hoga,info,0,474,0%,11.7,/en/city/varanasi/sightseeing/namo-ghat-varanasi,tokens (1/4)
varanasi ganga aarti time today,info,1,458,0.22%,8.08,/en/city/varanasi/activities/ganga-aarti-timing-varanasi-2026,all terms on page
distance between varanasi to ayodhya,info,0,458,0%,8.38,/en/ayodhya-varanasi-prayagraj-group-tour-package,all terms on page
sarnath temple timings,info,21,447,4.7%,3.96,/en/sarnath-timing-visit-guide,title
varanasi to prayagraj distance,info,1,447,0.22%,9.9,/en/varanasi-to-prayagraj-taxi,title
vindhyachal distance,info,0,446,0%,6.65,/en/city/varanasi/taxi/varanasi-airport-to-mirzapur-vindhyachal-taxi,title
ganga aarti time varanasi,info,2,441,0.45%,9.72,/en/city/varanasi/activities/ganga-aarti-timing-varanasi-2026,body
ganga snan kab hai 2026 november,info,9,436,2.06%,1.84,/en/city/varanasi/events/kartik-purnima-ganga-snan-varanasi-2026,tokens (4/5)
assi ghat ganga aarti timing,info,9,433,2.08%,3.08,/en/assi-ghat-aarti-timings-2026,body
kashi ganga aarti time,info,2,422,0.47%,10.28,/en/city/varanasi/sightseeing/kashi-vishwanath-temple-ganga-aarti-spiritual-journey-2026,body
assi ghat distance,info,0,418,0%,8.26,/en/assi-ghat-to-airport-taxi,body
banaras me kitne ghat hai,info,4,410,0.98%,6.68,/en/city/varanasi/activities/84-ghats-boat-tour-varanasi,slug (all terms)
mirzapur to vindhyachal distance,info,0,410,0%,10.91,/en/city/varanasi/taxi/varanasi-airport-to-mirzapur-vindhyachal-taxi,all terms on page
banaras se vindhyachal ki duri kitni hai,info,5,399,1.25%,2.88,/en/city/varanasi/taxi/varanasi-airport-to-mirzapur-vindhyachal-taxi,tokens (2/4)
kashi to ayodhya distance by road,info,0,390,0%,9.56,/en/ayodhya-varanasi-prayagraj-group-tour-package,all terms on page
kashi to nepal distance,info,3,389,0.77%,5.13,/en/city/nepal/taxi/varanasi-to-nepal-taxi,all terms on page
banaras to vindhyachal distance,info,2,389,0.51%,4.67,/en/varanasi-to-vindhyachal-taxi,body
kashi se ayodhya ki duri,info,1,388,0.26%,8.26,/en/varanasi-to-ayodhya-taxi,all terms on page
varanasi to kashi vishwanath distance,info,0,388,0%,7.35,/en/city/varanasi/taxi/varanasi-airport-to-kashi-vishwanath-taxi,all terms on page
varanasi weather in july 2026,info,3,384,0.78%,5.43,/en/varanasi-in-monsoon-july-september-2026,all terms on page
vindhyachal se banaras ki duri,info,2,379,0.53%,3.99,/hi/varanasi-to-vindhyachal-taxi,all terms on page
varanasi railway station to varanasi airport distance,info,3,376,0.8%,4.18,/en/city/varanasi/taxi/varanasi-airport-to-varanasi-junction-taxi,body
banaras se gorakhpur ki duri,info,0,368,0%,9.59,/en/city/gorakhpur/taxi/varanasi-to-gorakhpur-taxi,tokens (2/3)
varanasi ganga aarti timings,info,2,357,0.56%,9.69,/en/city/varanasi/activities/ganga-aarti-timing-varanasi-2026,slug (all terms)
aaj suryoday ka samay,info,0,356,0%,10.13,/hi/city/varanasi/activities/ganga-aarti-samay-varanasi-2026,tokens (1/3)
banaras ki duri,info,0,353,0%,7.9,/en/varanasi-to-ayodhya-taxi,all terms on page
assi ghat aarti time today,info,14,351,3.99%,2.29,/en/assi-ghat-aarti-timings-2026,all terms on page
suryast ka samay today,info,0,349,0%,10.6,/hi/city/varanasi/activities/ganga-aarti-samay-varanasi-2026,tokens (1/3)
sarnath opening time,info,16,346,4.62%,1.45,/en/ashoka-pillar-sarnath-guide,all terms on page
sunrise time varanasi,info,0,344,0%,7.76,/hi/varanasi-sunrise-time,slug (all terms)
bodhgaya to varanasi distance,info,0,337,0%,8.03,/en/city/bodhgaya/taxi/varanasi-to-bodhgaya-taxi,all terms on page
varanasi me kitne ghat hai,info,5,335,1.49%,5.19,/en/city/varanasi/activities/84-ghats-boat-tour-varanasi,slug (all terms)
kashi vishwanath temple to manikarnika ghat distance,info,0,334,0%,7.19,/en/manikarnika-ghat-sacred-cremation-grounds,all terms on page
sarnath temple varanasi timings,info,21,332,6.33%,1.75,/en/sarnath-buddhist-temple-guide,all terms on page
varanasi to ddu station distance by road,info,0,330,0%,10.07,/en/city/varanasi/taxi/varanasi-airport-to-banaras-railway-station-taxi,all terms on page
aaj suryast ka samay,info,0,330,0%,11.83,/hi/city/varanasi/activities/ganga-aarti-samay-varanasi-2026,tokens (1/3)
varanasi to sarnath distance by road,info,1,329,0.3%,6.39,/en/city/varanasi/taxi/varanasi-to-sarnath-taxi,all terms on page
assi ghat to manikarnika ghat distance,info,0,326,0%,8.21,/en/city/varanasi/taxi/manikarnika-ghat-cremation-guide,all terms on page
suryoday ka samay,info,0,326,0%,10.67,/hi/city/varanasi/activities/ganga-aarti-samay-varanasi-2026,tokens (1/2)
varanasi city to kashi vishwanath temple distance,info,0,319,0%,9.06,/en/services/dharamshala-near-kashi-vishwanath-temple-varanasi,all terms on page
cal suryoday kitne baje hoga,info,0,318,0%,12.75,/en/city/varanasi/sightseeing/namo-ghat-varanasi,tokens (1/4)
banaras mein kitne ghat hai,info,3,316,0.95%,6.15,/en/varanasi-kite-wars-tourist-guide-makar-sankranti-2026,all terms on page
varanasi weather,info,3,314,0.96%,2.38,/en/varanasi-weather-guide,title
vindhyachal ki duri,info,2,311,0.64%,3.73,/hi/varanasi-to-vindhyachal-taxi,body
